# Raw Optimization Data
# ,P15 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P17 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P1 - Moment Reaction Maximum X Axis (N m) ,P2 - Moment Reaction Maximum Total (N m) ,P3 - Total Deformation Maximum (m) ,P4 - Total Deformation Average (m) ,P16 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P18 - Y_directional_deformation_PUL Maximum (mm) ,P19 - Y_directional_deformation_Muscle Maximum (mm) ,P20 - Z_directional_deformation_Muscle Maximum (mm) ,P21 - Z_directional_deformation_PUL Maximum (mm) ,P22 - Y_directional_deformation_PUL Minimum (mm) ,P23 - Y_directional_deformation_Muscle Minimum (mm) ,P24 - Z_directional_deformation_Muscle Minimum (mm) ,P25 - Z_directional_deformation_PUL Minimum (mm) 
Name,P15,P17,P1,P2,P3,P4,P16,P18,P19,P20,P21,P22,P23,P24,P25
35,4,5,-0.0013901759209838686,0.0064669564323558181,0.0047690905462294238,0.001096035447557473,4,2.477524995803833,2.477524995803833,3.8505144119262695,4.3975067138671875,0.91074454784393311,0,-1.4936442375183105,2.2064738273620605
36,4,9,9.9370262987009488E-06,0.00065930487352672913,0.003434007860821217,0.00094483652859199245,4,2.7094662189483643,2.7094662189483643,1.9147449731826782,2.7231235504150391,1.1930379867553711,0,-2.3886115550994873,0.67635351419448853
37,4,6,-0.0010381641650327145,0.0049542866829159985,0.0044219859211616329,0.001034867681901094,4,2.5481789112091064,2.5481789112091064,3.3555071353912354,3.9835062026977539,0.990333914756775,0,-1.7259502410888672,1.8625160455703735
38,4,4,-0.0017440582226808817,0.0079954731412917,0.0051184939782221821,0.0011705733407453619,4,2.3966331481933594,2.3966331481933594,4.3479828834533691,4.8052868843078613,0.824305534362793,-0.0036502324510365725,-1.2532708644866943,2.5487627983093262
39,4,9,9.9370262987009488E-06,0.00065930487352672913,0.003434007860821217,0.00094483652859199245,4,2.7094662189483643,2.7094662189483643,1.9147449731826782,2.7231235504150391,1.1930379867553711,0,-2.3886115550994873,0.67635351419448853
40,4,7,-0.00068755361212329588,0.0034536893824470096,0.0040797174960703,0.00098831913004657451,4,2.6087961196899414,2.6087961196899414,2.8636186122894287,3.563939094543457,1.0635808706283569,0,-1.9504177570343018,1.5184911489486694
41,4,5,-0.0013901759209838686,0.0064669564323558181,0.0047690905462294238,0.001096035447557473,4,2.477524995803833,2.477524995803833,3.8505144119262695,4.3975067138671875,0.91074454784393311,0,-1.4936442375183105,2.2064738273620605
42,4,10,0.001141905445584202,0.0012604144623038433,0.0031419496482474655,0.00095007595751251176,4,2.7524380683898926,2.7524380683898926,1.4546558856964111,2.3093042373657227,1.2508672475814819,0,-2.6069560050964355,0.1692633181810379
43,4,6,-0.0010381641650327145,0.0049542866829159985,0.0044219859211616329,0.001034867681901094,4,2.5481789112091064,2.5481789112091064,3.3555071353912354,3.9835062026977539,0.990333914756775,0,-1.7259502410888672,1.8625160455703735
44,4,4,-0.0017440582226808817,0.0079954731412917,0.0051184939782221821,0.0011705733407453619,4,2.3966331481933594,2.3966331481933594,4.3479828834533691,4.8052868843078613,0.824305534362793,-0.0036502324510365725,-1.2532708644866943,2.5487627983093262
45,4,8,-0.00033827663981197183,0.0019747286721286017,0.0037487614873015162,0.000957866975118638,4,2.6609172821044922,2.6609172821044922,2.3852388858795166,3.14274525642395,1.1308938264846802,0,-2.17309308052063,1.1062737703323364
46,5,7,-0.001446907645175272,0.0069614711691508785,0.0051201975470341211,0.0011959212845015406,5,2.8831195831298828,2.8831195831298828,3.9569454193115239,4.61898136138916,1.1637477874755859,0,-1.9223108291625977,2.203089714050293
47,5,5,-0.0021418645376136383,0.0099331983554814662,0.0057289679450211366,0.0013132257534064975,5,2.7355935573577881,2.7355935573577881,4.8368043899536133,5.3476366996765137,1.0117255449295044,0,-1.461208701133728,2.8083281517028809
48,5,9,-0.000757633149604697,0.0040165036791937371,0.004513984609367124,0.0011180123675115128,5,2.9957211017608643,2.9957211017608643,3.0770177841186523,3.8641815185546875,1.2937519550323486,0,-2.3472106456756592,1.5926229953765869
49,5,7,-0.001446907645175272,0.0069614711691508785,0.0051201975470341211,0.0011959212845015406,5,2.8831195831298828,2.8831195831298828,3.9569454193115239,4.61898136138916,1.1637477874755859,0,-1.9223108291625977,2.203089714050293
50,5,9,-0.000757633149604697,0.0040165036791937371,0.004513984609367124,0.0011180123675115128,5,2.9957211017608643,2.9957211017608643,3.0770177841186523,3.8641815185546875,1.2937519550323486,0,-2.3472106456756592,1.5926229953765869
